07530	amateur	Communications
14781	amateur	Communications
20442	amateur	Communications
22826	amateur	Communications
23439	amateur	Communications
24278	amateur	Communications
25397	amateur	Communications
25544	amateur	Communications
26931	amateur	Communications
27607	amateur	Communications
27844	amateur	Communications
27848	amateur	Communications
27939	amateur	Communications
28895	amateur	Communications
32785	amateur	Communications
32789	amateur	Communications
32791	amateur	Communications
32953	amateur	Communications
33499	amateur	Communications
35932	amateur	Communications
35933	amateur	Communications
35935	amateur	Communications
36122	amateur	Communications
37839	amateur	Communications
37841	amateur	Communications
37855	amateur	Communications
39090	amateur	Communications
39134	amateur	Communications
39135	amateur	Communications
39136	amateur	Communications
39417	amateur	Communications
39430	amateur	Communications
39440	amateur	Communications
39444	amateur	Communications
39446	amateur	Communications
39770	amateur	Communications
40012	amateur	Communications
40021	amateur	Communications
40025	amateur	Communications
40900	amateur	Communications
40901	amateur	Communications
40902	amateur	Communications
40903	amateur	Communications
40904	amateur	Communications
40905	amateur	Communications
40906	amateur	Communications
40907	amateur	Communications
40908	amateur	Communications
40910	amateur	Communications
40911	amateur	Communications
40912	amateur	Communications
40926	amateur	Communications
40928	amateur	Communications
40931	amateur	Communications
41459	amateur	Communications
41460	amateur	Communications
41557	amateur	Communications
41619	amateur	Communications
41847	amateur	Communications
42017	amateur	Communications
42778	amateur	Communications
43017	amateur	Communications
43137	amateur	Communications
43700	amateur	Communications
43770	amateur	Communications
43786	amateur	Communications
43803	amateur	Communications
44354	amateur	Communications
44355	amateur	Communications
44419	amateur	Communications
19548	geo	Communications
20253	geo	Communications
20776	geo	Communications
21639	geo	Communications
22314	geo	Communications
22787	geo	Communications
22988	geo	Communications
23331	geo	Communications
23467	geo	Communications
23553	geo	Communications
23613	geo	Communications
23628	geo	Communications
23712	geo	Communications
23839	geo	Communications
23842	geo	Communications
23846	geo	Communications
24307	geo	Communications
24315	geo	Communications
24674	geo	Communications
24713	geo	Communications
24732	geo	Communications
24737	geo	Communications
24812	geo	Communications
24916	geo	Communications
24936	geo	Communications
24957	geo	Communications
25019	geo	Communications
25071	geo	Communications
25153	geo	Communications
25258	geo	Communications
25371	geo	Communications
25462	geo	Communications
25630	geo	Communications
25639	geo	Communications
25657	geo	Communications
25740	geo	Communications
25785	geo	Communications
25894	geo	Communications
25924	geo	Communications
25949	geo	Communications
25954	geo	Communications
25967	geo	Communications
26038	geo	Communications
